Model,File Name,File Size,Download Link
Vivo S17E PD2285,Vivo_S17E_PD2285_MT6886_A_14.1.16.0.W10.V000L1_051124_MXML.zip,9.62 GB,https://drive.google.com/file/d/1IADRfLDkRqWImVlPGqUJ0KLJgbnBSqHo/view?usp=drive_link
Vivo V50 Lite 5G PD2448F,Vivo_V50_Lite_5G_PD2448F_EX_A_15.0.5.8.W20.V000L1_LA.QSSI.15.0.r1-00900-QSSI.0-1_System_Split_QFIL.zip,8.37 GB,https://drive.google.com/file/d/1CsFgLwkQ6AQt3-Urc16ddvfkueIbS2FR/view?usp=drive_link
Vivo T4 Ultra 5G PD2430F,Vivo_T4_Ultra_5G_PD2430F_MT6989_EX_A_15.0.5.1.W30.V000L1_210425_MXML.zip,8.44 GB,https://drive.google.com/file/d/1688559S-I3nvGrJeAUntqaI4VNBoezcp/view?usp=sharing
Vivo T4 Lite 5G PD2443F,Vivo_T4_Lite_5G_PD2443F_MT6835_EX_A_15.0.29.7.W30.V000L1_240625_MXML.zip,9.33 GB,https://drive.google.com/file/d/1-gL_C106g53kPxxAc0_xcX4ahCTBXqA5/view?usp=drive_link
Vivo Y19 5G PD2443F,Vivo_Y19_5G_PD2443F_MT6835_EX_A_15.0.29.7.W30.V000L1_240625_MXML.zip,9.33 GB,https://drive.google.com/file/d/1-gL_C106g53kPxxAc0_xcX4ahCTBXqA5/view?usp=drive_link
Vivo Y29S 5G PD2443F,Vivo_Y29S_5G_PD2443F_MT6835_EX_A_15.0.29.7.W30.V000L1_240625_MXML.zip,9.33 GB,https://drive.google.com/file/d/1-gL_C106g53kPxxAc0_xcX4ahCTBXqA5/view?usp=drive_link
Vivo X200 Pro PD2405F,Vivo_X200_Pro_PD2405F_EX_A_15.0.13.1.W30.V000L1_170725_MXML.zip,11.50 GB,https://drive.google.com/file/d/19sWcHvMnTJpuhlfdm6s01ouzRQsh3I34/view?usp=sharing
Vivo X200 FE PD2465F,Vivo_X200_FE_PD2465F_MT6989_EX_A_15.0.11.7.W30.V000L1_170725_MXML.zip,11.57 GB,https://drive.google.com/file/d/1uSXj1C-6L8llqjyW9qq6gFiQ8Us9QtpQ/view?usp=sharing
Vivo V9 PD1730,Vivo_V9_PD1730_A_1.13.20_LA.UM.6.6.r1-03400-89xx.0_MSM8953_Split_QFIL.zip,4.7 GB,https://drive.google.com/file/d/1ccKf3iFGsg4pS_9lLiRR6H6ZbiFY_hlV/view?usp=sharing
Vivo Y19S 5G PD2420F,Vivo_Y19S_5G_PD2420F_EX_A_14.0.13.24.W30.V000L1_270225_SPD.zip,4.8 GB,https://drive.google.com/file/d/1k1dU83Uh8SzFKcVM0vaC7ycjizYAWMp6/view?usp=sharing
Vivo Y51 PD2044F,Vivo_Y51_PD2044F_EX_A_6.78.40_21110_QFIL.zip,1.47 GB,https://drive.google.com/file/d/11VrxGdD-vcV8xg_VMPb52GkZGth97TiP/view?usp=sharing
Vivo V29 Pro 5G PD2284F,Vivo_V29_Pro_5G_PD2284F_MT6895_EX_A_14.1.11.3.W30.V000L1_170624_MXML.zip,7.34 GB,https://drive.google.com/file/d/1rppXbv-oMlrqd0vET2RlwoleHjOglI_i/view?usp=drive_link
Vivo X Fold 3 5G PD2363F,Vivo_X_Fold_3_5G_PD2363F_EX_A_14.0.7.15.W30.V000L1_300524_QFIL.zip,10.63 GB,https://drive.google.com/file/d/1DB29sBfOJDBlpawnZeejMqa2pSD3GSVq/view?usp=sharing
Vivo Y29 5G PD2421F,Vivo_Y29_5G_PD2421F_MT6835_EX_A_14.0.12.2.W30.V000L1_170625_MXML.zip,6.38 GB,https://drive.google.com/file/d/1zawl73PNBGmbdjViAsM2CQf9ohKLva2r/view?usp=sharing
Vivo Y300 Plus 5G PD2422F,Vivo_Y300_Plus_5G_PD2422F_EX_A_15.1.14.3.W30.V000L1_RXW_20240814090000_LA.QSSI.15.0.r1_00900_qssi.0_1_System_Split_QFIL.zip,6 GB,https://drive.google.com/file/d/1iunEEutLHGRaOOiCY1oHiRlLOzO2ohDF/view?usp=sharing
Vivo V50E 5G PD2438F,Vivo_V50E_5G_PD2438F_MT6878_EX_A_15.0.9.15.W30.V000L1_140325_MXML.zip,9.39 GB,https://drive.google.com/file/d/18lqzGPXstqtoYtLhJLyBLqz3SpRy3kFY/view?usp=sharing
Vivo T4R 5G PD2438F,Vivo_T4R_5G_PD2438F_MT6878_EX_A_15.0.9.15.W30.V000L1_140325_MXML.zip,9.39 GB,https://drive.google.com/file/d/18lqzGPXstqtoYtLhJLyBLqz3SpRy3kFY/view?usp=sharing
Vivo V60 5G PD2503F,Vivo_V60_5G_PD2503F_EX_A_15.0.8.8.W30.V000L1_150725_QFIL.zip,11.47 GB,https://drive.google.com/file/d/1JZFbr-Q3kxyoV6jB63vN_GrcZuBW6Ojq/view?usp=sharing
Vivo T4 Pro 5G PD2503F,Vivo_T4_Pro_5G_PD2503F_EX_A_15.0.8.8.W30.V000L1_150725_QFIL.zip,11.47 GB,https://drive.google.com/file/d/1JZFbr-Q3kxyoV6jB63vN_GrcZuBW6Ojq/view?usp=sharing
Vivo X80 Lite 5G PD2215F,Vivo_X80_Lite_5G_PD2215F_MT6877_EX_A_13.1.26.0.W30.V000L1_290224.zip,10.89 GB,https://drive.google.com/file/d/1bT-j_tkpLDu6IFS0BOdMBzTJu1-pqKQN/view?usp=sharing
Vivo S16E PD2239,Vivo_S16E_PD2239_A_13.2.10.10.W10.V000L1_241024_QFIL.zip,7.72 GB,https://drive.google.com/file/d/1qN6JZ877bPUeXBG05e7Xx7kgXFwojSpE/view?usp=sharing
Vivo Y31S PD2054,Vivo_Y31S_PD2054_A_1.17.0_LA.UM.9.16.r1-00300-MANNAR-SM4350_150422_QFIL.zip,6.1 GB,https://drive.google.com/file/d/1peFFxKs3VyGpfeiM5U5KLKSZNF6qEA59/view?usp=sharing
Vivo Y400 5G PD2469F,Vivo_Y400_5G_PD2469F_EX_A_15.0.11.1.W30.V000L1_090725_QFIL.zip,6.30 GB,https://drive.google.com/file/d/17O8Egm-HTEflo8WSCGNfr7jzTg8S1Bps/view?usp=sharing
Vivo Y400 Pro 5G PD2451F,Vivo_Y400_Pro_5G_PD2451F_MT6878_EX_A_15.0.6.20.W30.V000L1_MXML.zip,7.50 GB,https://drive.google.com/file/d/1g-BKS8v2dAzQkszussh9sUhHncEArR5H/view?usp=sharing
Vivo S18E PD2334,Vivo_S18E_PD2334_MT6985_A_14.0.18.20.W10.V000L1_MXML.zip,9.57 GB,https://drive.google.com/file/d/1lHlusENb08WjnAXAQIkjK8AM1BIU3TOE/view?usp=sharing
Vivo S18E PD2344,Vivo_S18E_PD2344_MT6985_A_14.0.11.6.W10.V000L1_MXML.zip,9.89 GB,https://drive.google.com/file/d/1woPZ05VIi94YnjeHOo8GEQUe4ZUKvZCH/view?usp=sharing
Vivo S19 Pro PD2362,Vivo_S19_Pro_PD2362_MT6985_A_14.0.16.0.W10.V000L1_271224_MXML.zip,10.45 GB,https://drive.google.com/file/d/19kurl4q4Bdh9qWPJZbQeN62UjWy88Wq8/view?usp=sharing
Vivo X Fold 5 5G PD2436F,Vivo_X_Fold_5_5G_PD2436F_EX_A_15.0.9.3.W30.V000L1_190725_QFIL.zip,10.99 GB,https://drive.google.com/file/d/1wx5ykbb8yLfuxkK8PlSgfbzXpRk0FD05/view?usp=sharing
Vivo X Fold PD2178,Vivo_X_Fold_PD2178_A_14.2.9.6.W10.V000L1_LA.QSSI.14.0.R1.11.00.00.1001.027_System_Split_QFIL.zip,9 GB,https://drive.google.com/file/d/1A93_KM-G2o5Kzd9itj7QQOn7XOO3OiLZ/view?usp=sharing
Vivo X200 Pro PD2405,Vivo_X200_Pro_PD2405_MT6991_A_15.0.17.18.W10.V000L1_261224_MXML.zip,13.52 GB,https://drive.google.com/file/d/1h8fO-iHTrxVjiJLG6u2hpF2tzb6b_T5d/view?usp=sharing
Vivo Y04E PD2442F,Vivo_Y04E_PD2442F_EX_A_14.0.11.3.W30.V000L1_130325_SPD.zip,9.51 GB,https://drive.google.com/file/d/1XrS06YYzoaOYJkSL4NytX_z9P24wrJfX/view?usp=sharing
Vivo Y31 Pro 5G PD2445F,Vivo_Y31_Pro_5G_PD2445F_MT6878_EX_A_15.0.11.2.W30.V000L1_090615_MXML.zip,7.13 GB,https://drive.google.com/file/d/1ZonDr2O3UBZDcAujxwH0T4ImYiKxlE7H/view?usp=sharing
Vivo T4 5G PD2456F,Vivo_T4_5G_PD2456F_EX_A_15.0.11.1.W30.V000L1_LA.QSSI.15.0.r1-00900-qssi.0-1_System_Split_QFIL.zip,9 GB,https://drive.google.com/file/d/190SWIO_8FWe1eHvj7Vh54zgFytq58B4L/view?usp=sharing
Vivo V30E 5G PD2343F,Vivo_V30E_5G_PD2343F_EX_A_15.1.18.0.W30.V000L1_240814_QFIL.zip,10.85 GB,https://drive.google.com/file/d/1DLFCkhtUiLkCMfc3t6EXbz1mQWWtZZYE/view?usp=sharing
Vivo V40 Lite PD2343F,Vivo_V40_Lite_PD2343F_EX_A_15.1.18.0.W30.V000L1_240814_QFIL.zip,10.85 GB,https://drive.google.com/file/d/1DLFCkhtUiLkCMfc3t6EXbz1mQWWtZZYE/view?usp=sharing
Vivo Y17S 5G PD2317F,Vivo_Y17S_5G_PD2317F_MT6768_EX_A_13.0.14.0.W30.V000L1_060524.zip,9.83 GB,https://drive.google.com/file/d/1X4gAdZzyxjm1n7KHtcQSr9hblOz3zaE7/view?usp=drive_link
Vivo X Fold 3 PD2303,Vivo_X_Fold_3_PD2303_A_15.1.13.0.W10.V000L1_LA.QSSI.15.0.r1-00900-qssi.0-1_System_Split_QFIL.zip,10.73 GB,https://drive.google.com/file/d/19ItDySuIedh8GSjt_DzbIguSypLHXP7j/view?usp=drive_link
Vivo V29 5G PD2283F,Vivo_V29_5G_PD2283F_EX_A_13.0.14.3.W30.V000L1_180124_QFIL.zip,11.12 GB,https://drive.google.com/file/d/1dGWghmiHMuK7o-jXgeKnbghi0HKXDvOv/view?usp=drive_link
Vivo V27E 5G PD2268F,Vivo_V27E_5G_PD2268F_MT6789_EX_A_14.1.25.1.W30.V000L1_MXML.zip,8.08 GB,https://drive.google.com/file/d/1Bi4YPpNpDFHQjiMpmSn_JwJFHEecLBJT/view?usp=drive_link
Vivo S17T PD2282,Vivo_S17T_PD2282_MT6893_A_14.1.12.0.W10.V000L1_241224.zip,9.29 GB,https://drive.google.com/file/d/1nZz8TtPOAR0WPv0hkWOpsFpgtQp8Pf_P/view?usp=drive_link
Vivo S17E PD2285,Vivo_S17E_PD2285_MT6886_A_14.1.16.0.W10.V000L1_051124_MXML.zip,9.62 GB,https://drive.google.com/file/d/1IADRfLDkRqWImVlPGqUJ0KLJgbnBSqHo/view?usp=drive_link
